Ticker,date,qtr,eps_est,eps,release_time
AAPL,1/18/11,Q4,,0.23,post
AAPL,4/20/11,Q1,,0.23,post
AAPL,7/19/11,Q2,,0.28,post
AAPL,10/18/11,Q3,,0.25,post
AAPL,1/24/12,Q4,,0.5,post
AAPL,4/24/12,Q1,,0.44,post
AAPL,7/24/12,Q2,,0.33,
AAPL,10/25/12,Q3,1.26,1.24,post
AAPL,1/23/13,Q4,1.92,1.97,post
AAPL,4/23/13,Q1,1.45,1.44,post
AAPL,7/23/13,Q2,1.04,1.07,post
AAPL,10/28/13,Q3,1.13,1.18,post
AAPL,1/27/14,Q4,2.01,2.07,post
AAPL,4/23/14,Q1,1.46,1.66,post
AAPL,7/22/14,Q2,1.22,1.28,post
AAPL,10/20/14,Q3,1.3,1.42,post
AAPL,1/27/15,Q4,2.6,3.06,post
AAPL,4/27/15,Q1,2.19,2.33,post
AAPL,7/21/15,Q2,1.8,1.85,post
AAPL,10/27/15,Q3,1.88,1.96,post
AAPL,1/26/16,Q4,3.24,3.28,post
AAPL,4/26/16,Q1,1.97,1.9,post
AAPL,7/26/16,Q2,1.39,1.42,post
AAPL,10/25/16,Q3,1.66,1.67,post
AAPL,1/31/17,Q4,3.22,3.36,post
AAPL,5/2/17,Q1,2.02,2.1,post
AAPL,8/1/17,Q2,1.57,1.67,post
AAPL,11/2/17,Q3,1.87,2.07,post
AAPL,2/1/18,Q4,3.82,3.89,post
AAPL,5/1/18,Q1,2.69,2.73,post
AAPL,7/31/18,Q2,2.17,2.34,post
AAPL,11/1/18,Q3,2.79,2.91,post
AAPL,1/29/19,Q4,4.17,4.18,post
AAPL,4/30/19,Q1,2.361,2.46,post
AAPL,7/30/19,Q2,2.098,2.18,post
AAPL,10/30/19,Q3,2.839,3.03,
AAPL,1/28/20,Q4,4.547,4.99,
AAPL,4/30/20,Q1,2.261,2.55,
AAPL,7/30/20,Q2,2.044,2.58,
AAPL,10/29/20,Q3,0.7,0.73,
AAPL,1/27/21,Q4,1.412,1.68,
AAPL,4/28/21,Q1,0.987,1.4,
AMZN,1/27/11,Q4,,0.05,post
AMZN,4/26/11,Q1,,0.03,
AMZN,7/26/11,Q2,,0.02,post
AMZN,10/25/11,Q3,,0.01,post
AMZN,1/31/12,Q4,,0.02,post
AMZN,4/26/12,Q1,,0.01,post
AMZN,7/26/12,Q3,,0,post
AMZN,10/25/12,Q3,-0.08,-0.23,post
AMZN,1/29/13,Q4,0.28,0.21,post
AMZN,4/25/13,Q1,0.1,0.18,post
AMZN,7/25/13,Q2,0.04,-0.02,post
AMZN,10/24/13,Q3,-0.09,-0.09,post
AMZN,1/30/14,Q4,0.68,0.51,post
AMZN,4/24/14,Q1,0.22,0.23,post
AMZN,7/24/14,Q3,-0.13,-0.27,post
AMZN,10/23/14,Q3,-0.73,-0.95,post
AMZN,1/29/15,Q4,0.24,0.45,post
AMZN,4/23/15,Q1,-0.13,-0.12,post
AMZN,7/23/15,Q2,-0.15,0.19,post
AMZN,10/22/15,Q3,-0.1,0.17,post
AMZN,1/28/16,Q4,1.61,1,post
AMZN,4/28/16,Q1,0.61,1.07,post
AMZN,7/28/16,Q3,1.14,1.78,post
AMZN,10/27/16,Q3,0.85,0.52,post
AMZN,2/2/17,Q4,1.4,1.54,post
AMZN,4/27/17,Q1,1.03,1.48,post
AMZN,7/27/17,Q2,1.4,0.4,post
AMZN,10/26/17,Q3,0.01,0.52,post
AMZN,2/1/18,Q4,1.85,2.16,post
AMZN,4/26/18,Q1,1.22,3.27,post
AMZN,7/26/18,Q3,2.49,5.07,post
AMZN,10/25/18,Q3,3.29,5.75,post
AMZN,1/31/19,Q4,5.55,6.04,post
AMZN,4/25/19,Q1,4.724,7.09,post
AMZN,7/25/19,Q2,5.569,5.22,post
AMZN,10/24/19,Q3,4.619,4.23,
AMZN,1/30/20,Q4,4.028,6.47,
AMZN,4/30/20,Q1,6.249,5.01,
AMZN,7/30/20,Q2,1.46,10.3,
AMZN,10/29/20,Q3,7.409,12.37,
AMZN,2/2/21,Q4,7.231,14.09,
AMZN,4/29/21,Q1,9.542,15.79,post
CSCO,2/9/11,Q1,,0.27,post
CSCO,5/11/11,Q2,,0.33,post
CSCO,8/10/11,Q3,,0.23,post
CSCO,11/9/11,Q4,,0.31,post
CSCO,2/8/12,Q1,,0.4,post
